[0.000000] (-) TimerEvent: {}
[0.000986] (-) JobUnselected: {'identifier': 'amr_arcl_interface'}
[0.001267] (-) JobUnselected: {'identifier': 'amr_visualisation'}
[0.001437] (-) JobUnselected: {'identifier': 'camera'}
[0.001646] (-) JobUnselected: {'identifier': 'camera_interface'}
[0.001751] (-) JobUnselected: {'identifier': 'demo_package'}
[0.001801] (-) JobUnselected: {'identifier': 'image_sub'}
[0.001843] (-) JobUnselected: {'identifier': 'moma'}
[0.001882] (-) JobUnselected: {'identifier': 'moma_tf'}
[0.001919] (-) JobUnselected: {'identifier': 'moveit_path_planner'}
[0.001968] (-) JobUnselected: {'identifier': 'om_aiv_msg'}
[0.002008] (-) JobUnselected: {'identifier': 'om_aiv_navigation'}
[0.002046] (-) JobUnselected: {'identifier': 'om_aiv_util'}
[0.002085] (-) JobUnselected: {'identifier': 'tm12s_moveit_config'}
[0.002124] (-) JobUnselected: {'identifier': 'tm_description'}
[0.002162] (-) JobUnselected: {'identifier': 'tm_driver'}
[0.002198] (-) JobUnselected: {'identifier': 'tm_image'}
[0.002235] (-) JobUnselected: {'identifier': 'tm_inspect'}
[0.002272] (-) JobUnselected: {'identifier': 'tm_mod_urdf'}
[0.002309] (-) JobUnselected: {'identifier': 'tm_msgs'}
[0.002348] (-) JobUnselected: {'identifier': 'wireless'}
[0.002391] (-) EventReactorShutdown: {}
