[0.000000] (-) TimerEvent: {}
[0.001082] (-) JobUnselected: {'identifier': 'amr_arcl_interface'}
[0.001545] (-) JobUnselected: {'identifier': 'amr_visualisation'}
[0.001695] (-) JobUnselected: {'identifier': 'camera'}
[0.001795] (-) JobUnselected: {'identifier': 'camera_interface'}
[0.001859] (-) JobUnselected: {'identifier': 'demo_package'}
[0.001952] (-) JobUnselected: {'identifier': 'image_sub'}
[0.002106] (-) JobUnselected: {'identifier': 'moma'}
[0.002259] (-) JobUnselected: {'identifier': 'moma_tf'}
[0.002464] (-) JobUnselected: {'identifier': 'moveit_path_planner'}
[0.002568] (-) JobUnselected: {'identifier': 'om_aiv_msg'}
[0.002617] (-) JobUnselected: {'identifier': 'om_aiv_navigation'}
[0.002661] (-) JobUnselected: {'identifier': 'om_aiv_util'}
[0.002704] (-) JobUnselected: {'identifier': 'polaris_udp_bridge'}
[0.002744] (-) JobUnselected: {'identifier': 'tm12s_moveit_config'}
[0.002787] (-) JobUnselected: {'identifier': 'tm_description'}
[0.002828] (-) JobUnselected: {'identifier': 'tm_driver'}
[0.002869] (-) JobUnselected: {'identifier': 'tm_image'}
[0.002909] (-) JobUnselected: {'identifier': 'tm_inspect'}
[0.002950] (-) JobUnselected: {'identifier': 'tm_mod_urdf'}
[0.002992] (-) JobUnselected: {'identifier': 'tm_msgs'}
[0.003033] (-) JobUnselected: {'identifier': 'wireless'}
[0.003076] (-) EventReactorShutdown: {}
