[0.000000] (-) TimerEvent: {}
[0.001047] (-) JobUnselected: {'identifier': 'amr_arcl_interface'}
[0.001525] (-) JobUnselected: {'identifier': 'amr_visualisation'}
[0.001693] (-) JobUnselected: {'identifier': 'camera'}
[0.001797] (-) JobUnselected: {'identifier': 'camera_interface'}
[0.001861] (-) JobUnselected: {'identifier': 'demo_package'}
[0.001952] (-) JobUnselected: {'identifier': 'image_sub'}
[0.002106] (-) JobUnselected: {'identifier': 'moma'}
[0.002298] (-) JobUnselected: {'identifier': 'moma_tf'}
[0.002570] (-) JobUnselected: {'identifier': 'moveit_path_planner'}
[0.002688] (-) JobUnselected: {'identifier': 'om_aiv_msg'}
[0.002748] (-) JobUnselected: {'identifier': 'om_aiv_navigation'}
[0.002799] (-) JobUnselected: {'identifier': 'om_aiv_util'}
[0.002845] (-) JobUnselected: {'identifier': 'polaris_udp_bridge'}
[0.002890] (-) JobUnselected: {'identifier': 'tm12s_moveit_config'}
[0.002934] (-) JobUnselected: {'identifier': 'tm_description'}
[0.002977] (-) JobUnselected: {'identifier': 'tm_driver'}
[0.003020] (-) JobUnselected: {'identifier': 'tm_image'}
[0.003062] (-) JobUnselected: {'identifier': 'tm_inspect'}
[0.003102] (-) JobUnselected: {'identifier': 'tm_mod_urdf'}
[0.003146] (-) JobUnselected: {'identifier': 'tm_msgs'}
[0.003188] (-) JobUnselected: {'identifier': 'wireless'}
[0.003233] (-) EventReactorShutdown: {}
